molecule_chembl_id,pIC50,npr1,npr2,SMILES
CHEMBL3676403,6.9208188,0.1364278,0.89735514,O=C1CCc2c/c(=C/CC(=O)N3CC[C@@H](Oc4ccccc4)C3)cnc2=N1
CHEMBL3676404,6.8239088,0.085050948,0.94974387,Cc1nc([C@H]2C[C@H](C(=O)C/C=c3/cnc4c(c3)CCC(=O)N=4)C2)no1
CHEMBL3676405,7.8860564,0.079449713,0.94862986,O=C1CCc2c/c(=C/CC(=O)N3CC(OCc4cccs4)C3)cnc2=N1
CHEMBL3676406,5.3872161,0.25769129,0.84454525,Cc1nc([C@H]2CCCCN2C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)no1
CHEMBL3676407,6.4685211,0.058016993,0.98747855,O=C1CCc2c/c(=C/CC(=O)N3CCC(O)(c4ccccc4)CC3)cnc2=N1
CHEMBL3676408,7.6020598,0.096184351,0.93285584,CCCCCOC1CN(C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)C1
CHEMBL3676409,6.031517,0.13332766,0.89972365,O=C1CCc2c/c(=C/CC(=O)N3CC[C@@H](Oc4cccnc4)C3)cnc2=N1
CHEMBL3676410,5.7447276,0.17648947,0.87604594,O=C1CCc2c/c(=C/CC(=O)N3CCCC[C@@H]3c3nc4ccccc4o3)cnc2=N1
CHEMBL3676411,6.7695513,0.093046993,0.93589562,C=C(C)COC1CN(C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)C1
CHEMBL3676412,7.2441254,0.069675013,0.95030487,O=C1CCc2c/c(=C/CC(=O)N3CC(OCc4nccs4)C3)cnc2=N1
CHEMBL3676413,6.0604806,0.058822043,0.9798097,C/C(Cc1ncccn1)=N/OC1CN(C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)C1
CHEMBL3676414,5.0655017,0.067230627,0.98247612,CCCCCS(=O)(=O)C1CN(C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)C1
CHEMBL3676415,5.7447276,0.10299947,0.9240523,[H]/N=c1/ccc(/C=C/C(=O)N2CC(OCc3ccncc3)C2)c[nH]1
CHEMBL3676416,6.5850267,0.083745748,0.9409619,CC(=O)/N=c1\ccc(/C=C/C(=O)N2CC(OCc3ccncc3)C2)c[nH]1
CHEMBL3676417,7.221849,0.084976591,0.9524774,COC(=O)[C@@H]1Cc2c/c(=C\CC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2=NC1=O
CHEMBL3676418,7.0915151,0.053090505,0.99725139,O=C1N=c2nc/c(=C\CC(=O)N3CCC(COc4ccc(F)cc4)CC3)cc2C[C@@H]1CO
CHEMBL3676419,6.2596374,0.16764343,0.85028076,COC(=O)c1cc2cc(/C=C/C(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2[nH]c1=O
CHEMBL3676420,7.1079054,0.070781387,0.9736461,NC(=O)[C@H]1Cc2c/c(=C\CC(=O)N3CCC(COc4ccc(F)cc4)CC3)cnc2=NC1=O
CHEMBL3680372,5.3010302,0.2328576,0.84383547,CCc1cc(OC(=O)OC)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F
CHEMBL3687975,5.8860564,0.050213993,0.97690094,O=C1CCc2c/c(=C/CC(=O)N3CCC[C@@H](COc4ccc(F)cc4)C3)cnc2=N1
CHEMBL3687976,6.8239088,0.098769702,0.93981558,Cc1nc(C2CN(C(=O)C/C=c3/cnc4c(c3)CCC(=O)N=4)C2)no1
CHEMBL4204415,5.9586072,0.050223615,0.9648596,CC(=O)/N=c1\ccc(/C=C/C(=O)N2CC[C@H](c3ccc4c(c3)OCO4)C2)c[nH]1
CHEMBL4204517,6.3010302,0.22781506,0.99636012,COc1ccccc1[C@H]1CCN(C(=O)Cc2ccccc2Cl)C1
CHEMBL4204858,5.7212462,0.11677429,0.99139899,O=C(Cc1c(F)cccc1F)N1CC[C@H](c2ccccc2)C1
CHEMBL4205014,5.221849,0.11950964,0.96332711,O=C(Cc1ccccc1Cl)N1CC[C@@H](c2nccs2)C1
CHEMBL4205565,4.9706163,0.12340425,0.97791421,O=C(Cc1ccccc1Cl)N1CC[C@H](c2ccccc2)C1
CHEMBL4205638,5.6382723,0.084357567,0.99785823,O=C(Cc1c(F)cccc1F)N1CC[C@H](c2ccc3c(c2)OCO3)C1
CHEMBL4208104,5.3467875,0.12052149,0.89996105,CC(=O)/N=c1\ccc(/C=C/C(=O)N2CC[C@@H](c3nccs3)C2)c[nH]1
CHEMBL4209393,4.90309,0.15335208,0.93865204,COc1ccc([C@H]2CCN(C(=O)Cc3ccccc3Cl)C2)cc1
CHEMBL4209594,5.9208188,0.13920206,0.8806451,CC(=O)/N=c1\ccc(/C=C/C(=O)N2CC[C@H](c3ccccc3)C2)c[nH]1
CHEMBL4209685,5.3372421,0.17772685,0.91539979,COc1ccccc1[C@H]1CCN(C(=O)Cc2ccccc2F)C1
CHEMBL4210008,5.7447276,0.098558128,0.98275703,O=C(Cc1c(F)cccc1Cl)N1CC[C@H](c2ccc3c(c2)OCO3)C1
CHEMBL4210599,5.5228786,0.16604277,0.93472213,COc1ccccc1[C@H]1CCN(C(=O)Cc2cccc(F)c2F)C1
CHEMBL4210639,5.3010302,0.098415114,0.9810366,O=C(Cc1ccccc1F)N1CC[C@H](c2ccccc2)C1
CHEMBL421119,6.1739254,0.45978338,0.6412428,Nc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1
CHEMBL4211939,5.6020598,0.08873482,0.9954232,O=C(Cc1ccccc1Cl)N1CC[C@H](c2ccc3c(c2)OCO3)C1
CHEMBL4213777,5.2441254,0.19484569,0.95278895,COc1ccccc1[C@H]1CCN(C(=O)Cc2c(F)cccc2F)C1
CHEMBL4214096,5.4559321,0.20023246,0.84198964,COc1ccccc1[C@H]1CCN(C(=O)/C=C/c2cc/c(=N\C(C)=O)[nH]c2)C1
CHEMBL4216697,4.7351823,0.1256907,0.96785402,O=C(Cc1ccccc1Cl)N1CC[C@@H](c2ccccn2)C1
CHEMBL4216771,5.5686364,0.073580578,0.98269254,O=C(Cc1ccccc1F)N1CC[C@H](c2ccc3c(c2)OCO3)C1
CHEMBL4217672,5.1366773,0.10520697,0.99508029,O=C(Cc1cccc(F)c1F)N1CC[C@H](c2ccccc2)C1
CHEMBL4217852,5.4436975,0.18579556,0.83044517,COc1ccc([C@H]2CCN(C(=O)/C=C/c3cc/c(=N\C(C)=O)[nH]c3)C2)cc1
CHEMBL4217928,4.5466819,0.12520778,0.89093572,CC(=O)/N=c1\ccc(/C=C/C(=O)N2CC[C@@H](c3ccccn3)C2)c[nH]1
CHEMBL4218049,5.2596374,0.079140618,0.9929961,O=C(Cc1cccc(F)c1F)N1CC[C@H](c2ccc3c(c2)OCO3)C1
CHEMBL42208,6.8860564,0.24855839,0.81413859,CN(Cc1cn(C)c2ccccc12)C(=O)C/C=c1/cnc2c(c1)CCC(=O)N=2
CHEMBL42316,7.3010302,0.40594196,0.78043675,Cc1[nH]c2ccccc2c1CN(C)C(=O)C/C=c1/cnc2c(c1)CCC(=O)N=2
CHEMBL42318,5.6382723,0.23212545,0.83440173,CN(Cc1cc2ccccc2n1C)C(=O)C/C=c1\cnc2c(c1)CCCN=2
CHEMBL431763,4.4377069,0.12686047,0.95326805,Cc1ccccc1Cn1cnc(-c2ccsc2)c1
CHEMBL433326,4.4894552,0.29230097,0.80433816,O=C(c1ccc(O)cc1)N1CCc2c(c3ccccc3n2Cc2ccc(O)cc2)C1
CHEMBL433836,4.8326826,0.18916871,0.98783982,O=[N+]([O-])c1cccc(Cn2cnc(-c3ccsc3)c2)c1
CHEMBL435896,4.7878122,0.20154835,0.93771476,CN(Cc1cc2ccccc2n1C)C(=O)c1ccc(N)cc1
CHEMBL44183,7.3010302,0.083264627,0.95317155,CN(Cc1cc2ccccc2n1C)C(=O)C/C=c1/cnc2c(c1)CCC(=O)N=2
