NEW_SMILES,similarity,ppIC$_{50}$ SVR,ppIC$_{50}$ Ridge,ppIC$_{50}$ RFR,mean,std
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(S(C)(=O)=O)c1,0.75,6.89379654312146,6.69591026601621,6.35550250699891,6.64840310537886,0.272273419681661
Cc1cc(S(C)(=O)=O)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.75,6.60381395616003,6.68165607981924,6.40283727874481,6.56276910490803,0.143869700836798
Cc1cc([S+](C)[O-])ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.75,6.38726884410654,6.79106574295244,6.41092404211471,6.52975287639123,0.226612450609027
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C#N)c1,0.75,6.67150717501772,6.76111546709062,6.39298304178491,6.60853522796442,0.191975181279062
Cc1ccc(Oc2cn(C)c(COc3ccc(S(C)(=O)=O)cc3)cc2=O)c(C)c1,0.75,6.74349565818818,6.54994452139778,6.41431840019019,6.56925285992538,0.165435865967122
Cc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c([S+](C)[O-])c1,0.75,6.69262714168814,6.82179253800181,6.38345498862088,6.63262488943694,0.225244654777272
Cc1ccc(Oc2cn(C)c(COc3ccc(C(N)=O)cc3)cc2=O)c(C)c1,0.75,6.7741883694546,6.72370934466942,6.42442922753347,6.64077564721917,0.189053862613091
Cc1ccc(Oc2cn(C)c(COc3cc[nH]c3)cc2=O)c(C)c1,0.745098039215686,6.25687400519093,6.45216199693852,6.39392834014209,6.36765478075718,0.100260036267029
Cc1ccc(Oc2cn(C)c(COc3cnnnc3)cc2=O)c(C)c1,0.745098039215686,6.42763265302842,6.70421684928022,6.3863583091691,6.50606927049258,0.172837322647069
Cc1ccc(Oc2cn(C)c(COc3cncnc3)cc2=O)c(C)c1,0.745098039215686,6.38071351025012,6.36309069799053,6.3863583091691,6.37672083913658,0.0121367829120768
Cc1ccc(Oc2cn(C)c(COc3ncccn3)cc2=O)c(C)c1,0.74,6.05914439156049,6.41951811121021,6.31457438186834,6.26441229487968,0.185349617431048
COc1cc(C)c(Oc2cn(C)c(COc3ccccc3)cc2=O)cc1OC,0.74,6.28937782402368,6.70294579530993,6.32889852101662,6.44040738011674,0.228222010248383
