NEW_SMILES,pIC50,Shape Index,Molecular Flexibility,Molecular Complexity
Nc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1,6.17392519729917,0.53333,0.39188,0.86954
O=C(Cc1ccccc1Cl)N1CCC(c2ccc3c(c2)OCO3)C1,5.60205999132796,0.58333,0.46868,0.73618
COc1ccccc1C1CCN(C(=O)Cc2c(F)cccc2F)C1,5.24412514432751,0.54167,0.43688,0.73028
COc1ccccc1C1CCN(C(=O)C=Cc2ccc(=NC(C)=O)[nH]c2)C1,5.45593195564972,0.62963,0.26001,0.76043
O=C(Cc1ccccc1Cl)N1CCC(c2ccccn2)C1,4.73518217699046,0.61905,0.49645,0.71485
O=C(Cc1ccccc1F)N1CCC(c2ccc3c(c2)OCO3)C1,5.56863623584101,0.58333,0.46868,0.73618
O=C(Cc1cccc(F)c1F)N1CCC(c2ccccc2)C1,5.13667713987954,0.59091,0.52688,0.69536
COc1ccc(C2CCN(C(=O)C=Cc3ccc(=NC(C)=O)[nH]c3)C2)cc1,5.44369749923271,0.7037,0.34685,0.72942
CC(=O)N=c1ccc(C=CC(=O)N2CCC(c3ccccn3)C2)c[nH]1,4.54668165995296,0.68,0.29178,0.7473
O=C(Cc1cccc(F)c1F)N1CCC(c2ccc3c(c2)OCO3)C1,5.25963731050576,0.56,0.47645,0.7569
CN(Cc1cn(C)c2ccccc12)C(=O)CC=c1cnc2c(c1)CCC(=O)N=2,6.88605664769316,0.60714,0.51384,0.83186
Cc1[nH]c2ccccc2c1CN(C)C(=O)CC=c1cnc2c(c1)CCC(=O)N=2,7.30102999566398,0.60714,0.51384,0.84087
CN(Cc1cc2ccccc2n1C)C(=O)CC=c1cnc2c(c1)CCCN=2,5.63827216398241,0.59259,0.51522,0.81291
Cc1ccccc1Cn1cnc(-c2ccsc2)c1,4.43770713554353,0.61111,0.50985,0.69969
O=C(c1ccc(O)cc1)N1CCc2c(c3ccccc3n2Cc2ccc(O)cc2)C1,4.48945498979339,0.56667,0.39025,0.86492
O=[N+]([O-])c1cccc(Cn2cnc(-c3ccsc3)c2)c1,4.83268266525182,0.6,0.55615,0.71956
CN(Cc1cc2ccccc2n1C)C(=O)c1ccc(N)cc1,4.78781239559604,0.59091,0.54286,0.74806
CN(Cc1cc2ccccc2n1C)C(=O)CC=c1cnc2c(c1)CCC(=O)N=2,7.30102999566398,0.60714,0.51024,0.82844
Cc1cc(C=CC(=O)N(C)Cc2cc3ccccc3n2C)c[nH]c1=N,6.04095860767891,0.6,0.4156,0.77436
CC(=O)N=c1[nH]cc(C=CC(=O)N(C)Cc2cc3ccccc3n2C)cc1C,6.0268721464003,0.60714,0.40223,0.79924
Cc1cccc2c(CN(C)C(=O)CC=c3cnc4c(c3)CCC(=O)N=4)c(C)n(C)c12,7.69897000433602,0.56667,0.51875,0.87805
